LOCATION,fecha_diagnostico,value,fecha_csv
ALL,2020-05-08,202,2020-06-21
ALL,2020-05-09,250,2020-06-21
ALL,2020-05-10,199,2020-06-21
ALL,2020-05-11,263,2020-06-21
ALL,2020-05-12,288,2020-06-21
ALL,2020-05-13,324,2020-06-21
ALL,2020-05-14,304,2020-06-21
ALL,2020-05-15,396,2020-06-21
ALL,2020-05-16,339,2020-06-21
ALL,2020-05-17,240,2020-06-21
ALL,2020-05-18,389,2020-06-21
ALL,2020-05-19,527,2020-06-21
ALL,2020-05-20,612,2020-06-21
ALL,2020-05-21,744,2020-06-21
ALL,2020-05-22,808,2020-06-21
ALL,2020-05-23,611,2020-06-21
ALL,2020-05-24,503,2020-06-21
ALL,2020-05-25,548,2020-06-21
ALL,2020-05-26,644,2020-06-21
ALL,2020-05-27,714,2020-06-21
ALL,2020-05-28,764,2020-06-21
ALL,2020-05-29,838,2020-06-21
ALL,2020-05-30,687,2020-06-21
ALL,2020-05-31,540,2020-06-21
ALL,2020-06-01,841,2020-06-21
ALL,2020-06-02,922,2020-06-21
ALL,2020-06-03,928,2020-06-21
ALL,2020-06-04,869,2020-06-21
ALL,2020-06-05,961,2020-06-21
ALL,2020-06-06,1094,2020-06-21
ALL,2020-06-07,572,2020-06-21
ALL,2020-06-08,1040,2020-06-21
ALL,2020-06-09,1349,2020-06-21
ALL,2020-06-10,1324,2020-06-21
ALL,2020-06-11,1532,2020-06-21
ALL,2020-06-12,1613,2020-06-21
ALL,2020-06-13,1480,2020-06-21
ALL,2020-06-14,1026,2020-06-21
ALL,2020-06-15,1280,2020-06-21
ALL,2020-06-16,1623,2020-06-21
ALL,2020-06-17,1790,2020-06-21
ALL,2020-06-18,1814,2020-06-21
ALL,2020-06-19,1622,2020-06-21
ALL,2020-06-20,1466,2020-06-21
ALL,2020-06-21,367,2020-06-21
ALL,2020-03-03,1,2020-06-22
ALL,2020-03-06,6,2020-06-22
ALL,2020-03-07,1,2020-06-22
ALL,2020-03-08,2,2020-06-22
ALL,2020-03-09,6,2020-06-22
ALL,2020-03-10,2,2020-06-22
ALL,2020-03-11,4,2020-06-22
ALL,2020-03-12,10,2020-06-22
