LOCATION,fecha_cui_intensivo,value,fecha_csv
ALL,2020-05-07,9,2020-06-17
ALL,2020-05-08,8,2020-06-17
ALL,2020-05-09,6,2020-06-17
ALL,2020-05-10,8,2020-06-17
ALL,2020-05-11,10,2020-06-17
ALL,2020-05-12,10,2020-06-17
ALL,2020-05-13,7,2020-06-17
ALL,2020-05-14,10,2020-06-17
ALL,2020-05-15,10,2020-06-17
ALL,2020-05-16,12,2020-06-17
ALL,2020-05-17,12,2020-06-17
ALL,2020-05-18,22,2020-06-17
ALL,2020-05-19,18,2020-06-17
ALL,2020-05-20,20,2020-06-17
ALL,2020-05-21,23,2020-06-17
ALL,2020-05-22,17,2020-06-17
ALL,2020-05-23,16,2020-06-17
ALL,2020-05-24,17,2020-06-17
ALL,2020-05-25,14,2020-06-17
ALL,2020-05-26,15,2020-06-17
ALL,2020-05-27,21,2020-06-17
ALL,2020-05-28,25,2020-06-17
ALL,2020-05-29,25,2020-06-17
ALL,2020-05-30,23,2020-06-17
ALL,2020-05-31,19,2020-06-17
ALL,2020-06-01,14,2020-06-17
ALL,2020-06-02,23,2020-06-17
ALL,2020-06-03,19,2020-06-17
ALL,2020-06-04,22,2020-06-17
ALL,2020-06-05,14,2020-06-17
ALL,2020-06-06,25,2020-06-17
ALL,2020-06-07,15,2020-06-17
ALL,2020-06-08,27,2020-06-17
ALL,2020-06-09,16,2020-06-17
ALL,2020-06-10,20,2020-06-17
ALL,2020-06-11,19,2020-06-17
ALL,2020-06-12,11,2020-06-17
ALL,2020-06-13,9,2020-06-17
ALL,2020-06-14,13,2020-06-17
ALL,2020-06-15,13,2020-06-17
ALL,2020-06-16,5,2020-06-17
ALL,2020-06-17,3,2020-06-17
ALL,2020-03-04,1,2020-06-18
ALL,2020-03-08,1,2020-06-18
ALL,2020-03-09,3,2020-06-18
ALL,2020-03-12,2,2020-06-18
ALL,2020-03-13,1,2020-06-18
ALL,2020-03-14,4,2020-06-18
ALL,2020-03-15,2,2020-06-18
ALL,2020-03-16,1,2020-06-18
ALL,2020-03-17,3,2020-06-18
ALL,2020-03-18,5,2020-06-18
ALL,2020-03-19,3,2020-06-18
