LOCATION,fecha_cui_intensivo,value,fecha_csv
ALL/CABA,2020-04-09,1,2020-06-16
ALL/CABA,2020-04-11,1,2020-06-16
ALL/CABA,2020-04-13,1,2020-06-16
ALL/CABA,2020-04-14,3,2020-06-16
ALL/CABA,2020-04-15,1,2020-06-16
ALL/CABA,2020-04-18,1,2020-06-16
ALL/CABA,2020-04-19,1,2020-06-16
ALL/CABA,2020-04-20,4,2020-06-16
ALL/CABA,2020-04-21,1,2020-06-16
ALL/CABA,2020-04-22,4,2020-06-16
ALL/CABA,2020-04-23,5,2020-06-16
ALL/CABA,2020-04-24,5,2020-06-16
ALL/CABA,2020-04-27,5,2020-06-16
ALL/CABA,2020-04-28,1,2020-06-16
ALL/CABA,2020-04-29,1,2020-06-16
ALL/CABA,2020-04-30,1,2020-06-16
ALL/CABA,2020-05-02,3,2020-06-16
ALL/CABA,2020-05-03,1,2020-06-16
ALL/CABA,2020-05-04,4,2020-06-16
ALL/CABA,2020-05-05,3,2020-06-16
ALL/CABA,2020-05-06,4,2020-06-16
ALL/CABA,2020-05-07,6,2020-06-16
ALL/CABA,2020-05-08,5,2020-06-16
ALL/CABA,2020-05-09,2,2020-06-16
ALL/CABA,2020-05-10,3,2020-06-16
ALL/CABA,2020-05-11,6,2020-06-16
ALL/CABA,2020-05-12,7,2020-06-16
ALL/CABA,2020-05-13,2,2020-06-16
ALL/CABA,2020-05-14,3,2020-06-16
ALL/CABA,2020-05-15,9,2020-06-16
ALL/CABA,2020-05-16,6,2020-06-16
ALL/CABA,2020-05-17,8,2020-06-16
ALL/CABA,2020-05-18,17,2020-06-16
ALL/CABA,2020-05-19,12,2020-06-16
ALL/CABA,2020-05-20,9,2020-06-16
ALL/CABA,2020-05-21,10,2020-06-16
ALL/CABA,2020-05-22,10,2020-06-16
ALL/CABA,2020-05-23,11,2020-06-16
ALL/CABA,2020-05-24,9,2020-06-16
ALL/CABA,2020-05-25,6,2020-06-16
ALL/CABA,2020-05-26,8,2020-06-16
ALL/CABA,2020-05-27,10,2020-06-16
ALL/CABA,2020-05-28,13,2020-06-16
ALL/CABA,2020-05-29,13,2020-06-16
ALL/CABA,2020-05-30,6,2020-06-16
ALL/CABA,2020-05-31,6,2020-06-16
ALL/CABA,2020-06-01,10,2020-06-16
ALL/CABA,2020-06-02,12,2020-06-16
ALL/CABA,2020-06-03,13,2020-06-16
ALL/CABA,2020-06-04,10,2020-06-16
ALL/CABA,2020-06-05,7,2020-06-16
ALL/CABA,2020-06-06,15,2020-06-16
ALL/CABA,2020-06-07,7,2020-06-16
ALL/CABA,2020-06-08,10,2020-06-16
ALL/CABA,2020-06-09,9,2020-06-16
ALL/CABA,2020-06-10,9,2020-06-16
ALL/CABA,2020-06-11,9,2020-06-16
ALL/CABA,2020-06-12,5,2020-06-16
ALL/CABA,2020-06-13,3,2020-06-16
ALL/CABA,2020-06-14,6,2020-06-16
ALL/CABA,2020-06-15,6,2020-06-16
ALL/Chaco,2020-03-09,1,2020-06-16
ALL/Chaco,2020-03-14,2,2020-06-16
ALL/Chaco,2020-03-18,1,2020-06-16
ALL/Chaco,2020-03-19,1,2020-06-16
ALL/Chaco,2020-03-25,1,2020-06-16
ALL/Chaco,2020-03-26,1,2020-06-16
ALL/Chaco,2020-03-28,1,2020-06-16
ALL/Chaco,2020-03-31,1,2020-06-16
ALL/Chaco,2020-04-03,1,2020-06-16
ALL/Chaco,2020-04-08,1,2020-06-16
ALL/Chaco,2020-04-10,1,2020-06-16
ALL/Chaco,2020-04-12,2,2020-06-16
ALL/Chaco,2020-04-13,2,2020-06-16
ALL/Chaco,2020-04-15,1,2020-06-16
ALL/Chaco,2020-04-16,1,2020-06-16
ALL/Chaco,2020-04-19,1,2020-06-16
ALL/Chaco,2020-04-20,1,2020-06-16
ALL/Chaco,2020-04-22,2,2020-06-16
ALL/Chaco,2020-04-24,2,2020-06-16
ALL/Chaco,2020-04-25,2,2020-06-16
ALL/Chaco,2020-04-26,2,2020-06-16
ALL/Chaco,2020-04-27,3,2020-06-16
ALL/Chaco,2020-04-29,1,2020-06-16
ALL/Chaco,2020-04-30,1,2020-06-16
ALL/Chaco,2020-05-02,1,2020-06-16
ALL/Chaco,2020-05-03,1,2020-06-16
ALL/Chaco,2020-05-04,1,2020-06-16
ALL/Chaco,2020-05-05,1,2020-06-16
ALL/Chaco,2020-05-06,2,2020-06-16
ALL/Chaco,2020-05-07,1,2020-06-16
ALL/Chaco,2020-05-08,1,2020-06-16
ALL/Chaco,2020-05-09,3,2020-06-16
ALL/Chaco,2020-05-10,2,2020-06-16
ALL/Chaco,2020-05-12,1,2020-06-16
ALL/Chaco,2020-05-13,3,2020-06-16
ALL/Chaco,2020-05-14,3,2020-06-16
ALL/Chaco,2020-05-16,2,2020-06-16
ALL/Chaco,2020-05-17,2,2020-06-16
ALL/Chaco,2020-05-19,1,2020-06-16
ALL/Chaco,2020-05-20,2,2020-06-16
ALL/Chaco,2020-05-22,1,2020-06-16
ALL/Chaco,2020-05-23,2,2020-06-16
ALL/Chaco,2020-05-24,1,2020-06-16
ALL/Chaco,2020-05-25,3,2020-06-16
ALL/Chaco,2020-05-27,1,2020-06-16
ALL/Chaco,2020-05-29,2,2020-06-16
ALL/Chaco,2020-05-30,4,2020-06-16
ALL/Chaco,2020-05-31,2,2020-06-16
ALL/Chaco,2020-06-02,1,2020-06-16
ALL/Chaco,2020-06-04,2,2020-06-16
ALL/Chaco,2020-06-07,1,2020-06-16
ALL/Chaco,2020-06-08,2,2020-06-16
ALL/Chaco,2020-06-10,2,2020-06-16
ALL/Chaco,2020-06-11,1,2020-06-16
ALL/Chubut,2020-04-30,1,2020-06-16
ALL/Corrientes,2020-05-02,1,2020-06-16
ALL/Córdoba,2020-03-15,1,2020-06-16
ALL/Córdoba,2020-03-21,1,2020-06-16
ALL/Córdoba,2020-03-24,1,2020-06-16
ALL/Córdoba,2020-03-25,1,2020-06-16
ALL/Córdoba,2020-03-26,2,2020-06-16
ALL/Córdoba,2020-03-27,1,2020-06-16
ALL/Córdoba,2020-03-28,2,2020-06-16
ALL/Córdoba,2020-03-29,1,2020-06-16
ALL/Córdoba,2020-03-30,2,2020-06-16
ALL/Córdoba,2020-04-05,1,2020-06-16
ALL/Córdoba,2020-04-07,1,2020-06-16
ALL/Córdoba,2020-04-08,1,2020-06-16
ALL/Córdoba,2020-04-10,3,2020-06-16
ALL/Córdoba,2020-04-11,1,2020-06-16
ALL/Córdoba,2020-04-13,1,2020-06-16
ALL/Córdoba,2020-04-20,2,2020-06-16
ALL/Córdoba,2020-04-28,1,2020-06-16
ALL/Córdoba,2020-05-01,1,2020-06-16
ALL/Córdoba,2020-05-08,1,2020-06-16
ALL/Córdoba,2020-05-11,1,2020-06-16
ALL/Córdoba,2020-05-14,1,2020-06-16
ALL/Córdoba,2020-05-15,1,2020-06-16
ALL/Córdoba,2020-05-17,1,2020-06-16
ALL/Córdoba,2020-05-19,1,2020-06-16
ALL/Córdoba,2020-05-20,1,2020-06-16
ALL/Córdoba,2020-05-30,1,2020-06-16
ALL/Jujuy,2020-06-02,1,2020-06-16
ALL/La Rioja,2020-03-23,1,2020-06-16
ALL/La Rioja,2020-04-10,1,2020-06-16
ALL/La Rioja,2020-04-17,1,2020-06-16
ALL/La Rioja,2020-04-22,1,2020-06-16
ALL/Mendoza,2020-03-25,1,2020-06-16
ALL/Mendoza,2020-03-26,2,2020-06-16
ALL/Mendoza,2020-03-30,1,2020-06-16
ALL/Mendoza,2020-04-01,3,2020-06-16
ALL/Mendoza,2020-04-02,1,2020-06-16
ALL/Mendoza,2020-04-07,1,2020-06-16
ALL/Mendoza,2020-04-13,1,2020-06-16
ALL/Mendoza,2020-04-15,1,2020-06-16
ALL/Misiones,2020-04-17,1,2020-06-16
ALL/Misiones,2020-05-27,1,2020-06-16
ALL/Misiones,2020-06-09,1,2020-06-16
ALL/Misiones,2020-06-11,1,2020-06-16
ALL/Neuquén,2020-03-25,1,2020-06-16
ALL/Neuquén,2020-04-18,1,2020-06-16
ALL/Neuquén,2020-04-24,1,2020-06-16
ALL/Neuquén,2020-06-11,1,2020-06-16
ALL/Río Negro,2020-04-02,1,2020-06-16
ALL/Río Negro,2020-04-03,3,2020-06-16
ALL/Río Negro,2020-04-13,1,2020-06-16
ALL/Río Negro,2020-04-14,1,2020-06-16
ALL/Río Negro,2020-04-17,1,2020-06-16
ALL/Río Negro,2020-04-27,1,2020-06-16
ALL/Río Negro,2020-05-02,1,2020-06-16
ALL/Río Negro,2020-05-04,1,2020-06-16
ALL/Río Negro,2020-05-05,1,2020-06-16
ALL/Río Negro,2020-05-14,1,2020-06-16
ALL/Río Negro,2020-05-21,1,2020-06-16
ALL/Río Negro,2020-05-27,1,2020-06-16
ALL/Río Negro,2020-05-31,1,2020-06-16
ALL/Río Negro,2020-06-03,1,2020-06-16
ALL/Río Negro,2020-06-05,1,2020-06-16
ALL/Río Negro,2020-06-09,1,2020-06-16
ALL/Río Negro,2020-06-12,1,2020-06-16
ALL/San Juan,2020-04-09,1,2020-06-16
ALL/Santa Cruz,2020-03-19,1,2020-06-16
ALL/Santa Cruz,2020-03-24,1,2020-06-16
ALL/Santa Cruz,2020-03-26,1,2020-06-16
ALL/Santa Cruz,2020-04-04,1,2020-06-16
ALL/Santa Cruz,2020-04-08,1,2020-06-16
ALL/Santa Fe,2020-03-28,2,2020-06-16
ALL/Santa Fe,2020-03-29,2,2020-06-16
ALL/Santa Fe,2020-03-30,1,2020-06-16
ALL/Santa Fe,2020-03-31,1,2020-06-16
ALL/Santa Fe,2020-04-01,1,2020-06-16
ALL/Santa Fe,2020-04-05,1,2020-06-16
ALL/Santa Fe,2020-04-11,1,2020-06-16
ALL/Santa Fe,2020-04-14,1,2020-06-16
ALL/Santa Fe,2020-04-18,1,2020-06-16
ALL/Santa Fe,2020-05-24,1,2020-06-16
ALL/Santiago del Estero,2020-04-07,1,2020-06-16
ALL/Tierra del Fuego,2020-03-29,1,2020-06-16
ALL/Tierra del Fuego,2020-03-30,1,2020-06-16
ALL/Tucumán,2020-03-14,1,2020-06-16
ALL/Tucumán,2020-03-18,1,2020-06-16
ALL/Tucumán,2020-03-23,1,2020-06-16
ALL/Tucumán,2020-03-31,1,2020-06-16
ALL/Tucumán,2020-05-30,1,2020-06-16
ALL/Buenos Aires,2020-03-09,1,2020-06-17
ALL/Buenos Aires,2020-03-12,1,2020-06-17
ALL/Buenos Aires,2020-03-13,1,2020-06-17
ALL/Buenos Aires,2020-03-14,1,2020-06-17
ALL/Buenos Aires,2020-03-16,1,2020-06-17
ALL/Buenos Aires,2020-03-17,1,2020-06-17
ALL/Buenos Aires,2020-03-18,3,2020-06-17
ALL/Buenos Aires,2020-03-19,1,2020-06-17
ALL/Buenos Aires,2020-03-20,1,2020-06-17
ALL/Buenos Aires,2020-03-21,3,2020-06-17
ALL/Buenos Aires,2020-03-22,3,2020-06-17
ALL/Buenos Aires,2020-03-23,1,2020-06-17
ALL/Buenos Aires,2020-03-24,2,2020-06-17
ALL/Buenos Aires,2020-03-25,3,2020-06-17
