LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/Córdoba,2020-05-26,1,2020-06-16
ALL/Córdoba,2020-05-31,1,2020-06-16
ALL/Córdoba,2020-06-03,1,2020-06-16
ALL/Córdoba,2020-06-05,1,2020-06-16
ALL/Córdoba,2020-06-12,1,2020-06-16
ALL/Córdoba,2020-06-14,2,2020-06-16
ALL/Jujuy,2020-06-12,1,2020-06-16
ALL/La Rioja,2020-03-31,1,2020-06-16
ALL/La Rioja,2020-04-13,1,2020-06-16
ALL/La Rioja,2020-04-17,1,2020-06-16
ALL/La Rioja,2020-04-21,2,2020-06-16
ALL/La Rioja,2020-04-22,1,2020-06-16
ALL/La Rioja,2020-05-08,1,2020-06-16
ALL/La Rioja,2020-06-06,1,2020-06-16
ALL/Mendoza,2020-03-27,1,2020-06-16
ALL/Mendoza,2020-04-01,1,2020-06-16
ALL/Mendoza,2020-04-02,1,2020-06-16
ALL/Mendoza,2020-04-07,1,2020-06-16
ALL/Mendoza,2020-04-14,1,2020-06-16
ALL/Mendoza,2020-04-15,1,2020-06-16
ALL/Mendoza,2020-04-16,1,2020-06-16
ALL/Mendoza,2020-04-19,1,2020-06-16
ALL/Mendoza,2020-04-23,1,2020-06-16
ALL/Misiones,2020-04-23,1,2020-06-16
ALL/Misiones,2020-06-10,1,2020-06-16
ALL/Neuquén,2020-03-26,1,2020-06-16
ALL/Neuquén,2020-03-30,1,2020-06-16
ALL/Neuquén,2020-04-06,1,2020-06-16
ALL/Neuquén,2020-04-08,1,2020-06-16
ALL/Neuquén,2020-04-28,1,2020-06-16
ALL/Neuquén,2020-06-15,1,2020-06-16
ALL/Río Negro,2020-04-09,1,2020-06-16
ALL/Río Negro,2020-04-13,1,2020-06-16
ALL/Río Negro,2020-04-19,1,2020-06-16
ALL/Río Negro,2020-04-20,2,2020-06-16
ALL/Río Negro,2020-04-25,1,2020-06-16
ALL/Río Negro,2020-04-29,1,2020-06-16
ALL/Río Negro,2020-05-03,1,2020-06-16
ALL/Río Negro,2020-05-06,1,2020-06-16
ALL/Río Negro,2020-05-10,1,2020-06-16
ALL/Río Negro,2020-05-13,1,2020-06-16
ALL/Río Negro,2020-05-16,1,2020-06-16
ALL/Río Negro,2020-05-19,1,2020-06-16
ALL/Río Negro,2020-05-21,1,2020-06-16
ALL/Río Negro,2020-05-22,2,2020-06-16
ALL/Río Negro,2020-05-25,1,2020-06-16
ALL/Río Negro,2020-06-03,2,2020-06-16
ALL/Río Negro,2020-06-06,1,2020-06-16
ALL/Río Negro,2020-06-07,1,2020-06-16
ALL/Río Negro,2020-06-08,2,2020-06-16
ALL/Río Negro,2020-06-10,1,2020-06-16
ALL/Río Negro,2020-06-11,1,2020-06-16
ALL/Río Negro,2020-06-12,1,2020-06-16
ALL/Río Negro,2020-06-13,1,2020-06-16
ALL/Río Negro,2020-06-15,1,2020-06-16
