LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/COMUNA 7,2020-04-05,1,2020-06-16
ALL/COMUNA 7,2020-04-14,1,2020-06-16
ALL/COMUNA 7,2020-04-24,2,2020-06-16
ALL/COMUNA 7,2020-04-29,1,2020-06-16
ALL/COMUNA 7,2020-04-30,1,2020-06-16
ALL/COMUNA 7,2020-05-01,1,2020-06-16
ALL/COMUNA 7,2020-05-02,1,2020-06-16
ALL/COMUNA 7,2020-05-11,1,2020-06-16
ALL/COMUNA 7,2020-05-17,1,2020-06-16
ALL/COMUNA 7,2020-05-20,1,2020-06-16
ALL/COMUNA 7,2020-05-23,1,2020-06-16
ALL/COMUNA 7,2020-05-25,1,2020-06-16
ALL/COMUNA 7,2020-05-28,1,2020-06-16
ALL/COMUNA 7,2020-05-29,1,2020-06-16
ALL/COMUNA 7,2020-05-30,1,2020-06-16
ALL/COMUNA 7,2020-06-01,1,2020-06-16
ALL/COMUNA 7,2020-06-03,2,2020-06-16
ALL/COMUNA 7,2020-06-04,2,2020-06-16
ALL/COMUNA 7,2020-06-06,1,2020-06-16
ALL/COMUNA 7,2020-06-08,1,2020-06-16
ALL/COMUNA 7,2020-06-09,2,2020-06-16
ALL/COMUNA 7,2020-06-13,1,2020-06-16
ALL/COMUNA 7,2020-06-14,1,2020-06-16
ALL/COMUNA 7,2020-06-15,1,2020-06-16
ALL/COMUNA 8,2020-05-30,1,2020-06-16
ALL/COMUNA 8,2020-06-09,1,2020-06-16
ALL/COMUNA 8,2020-06-11,1,2020-06-16
ALL/COMUNA 9,2020-05-01,1,2020-06-16
ALL/COMUNA 9,2020-05-23,1,2020-06-16
ALL/Cainguás,2020-06-10,1,2020-06-16
ALL/Campana,2020-03-26,1,2020-06-16
ALL/Campana,2020-04-02,1,2020-06-16
ALL/Campana,2020-04-03,1,2020-06-16
ALL/Campana,2020-06-04,1,2020-06-16
ALL/Campana,2020-06-14,1,2020-06-16
ALL/Capital,2020-03-30,1,2020-06-16
ALL/Capital,2020-03-31,1,2020-06-16
ALL/Capital,2020-04-01,1,2020-06-16
ALL/Capital,2020-04-02,1,2020-06-16
ALL/Capital,2020-04-08,1,2020-06-16
ALL/Capital,2020-04-13,1,2020-06-16
ALL/Capital,2020-04-15,1,2020-06-16
ALL/Capital,2020-04-17,1,2020-06-16
ALL/Capital,2020-04-21,1,2020-06-16
ALL/Capital,2020-04-22,1,2020-06-16
ALL/Capital,2020-04-24,1,2020-06-16
ALL/Capital,2020-05-02,3,2020-06-16
ALL/Capital,2020-05-04,1,2020-06-16
ALL/Capital,2020-05-08,1,2020-06-16
ALL/Capital,2020-05-11,1,2020-06-16
ALL/Capital,2020-05-14,1,2020-06-16
ALL/Capital,2020-05-17,1,2020-06-16
ALL/Capital,2020-05-19,1,2020-06-16
ALL/Capital,2020-05-20,1,2020-06-16
ALL/Capital,2020-05-24,1,2020-06-16
ALL/Capital,2020-05-31,1,2020-06-16
ALL/Capital,2020-06-12,1,2020-06-16
ALL/Capital,2020-06-14,2,2020-06-16
ALL/Castellanos,2020-04-09,1,2020-06-16
ALL/Cañuelas,2020-03-24,1,2020-06-16
ALL/Colón,2020-04-19,1,2020-06-16
ALL/Colón,2020-04-20,2,2020-06-16
ALL/Colón,2020-04-22,1,2020-06-16
ALL/Colón,2020-04-25,1,2020-06-16
ALL/Colón,2020-04-27,2,2020-06-16
ALL/Colón,2020-05-01,1,2020-06-16
ALL/Colón,2020-05-04,1,2020-06-16
ALL/Colón,2020-05-14,1,2020-06-16
ALL/Colón,2020-06-03,1,2020-06-16
ALL/Colón,2020-06-05,1,2020-06-16
ALL/Confluencia,2020-03-31,1,2020-06-16
ALL/Confluencia,2020-04-28,1,2020-06-16
ALL/Confluencia,2020-06-15,1,2020-06-16
ALL/Constitución,2020-05-07,1,2020-06-16
ALL/Escobar,2020-04-08,1,2020-06-16
ALL/Escobar,2020-04-17,1,2020-06-16
ALL/Escobar,2020-04-22,1,2020-06-16
ALL/Escobar,2020-04-27,3,2020-06-16
ALL/Escobar,2020-04-28,1,2020-06-16
ALL/Escobar,2020-04-30,1,2020-06-16
ALL/Escobar,2020-05-01,2,2020-06-16
ALL/Escobar,2020-05-07,1,2020-06-16
ALL/Escobar,2020-05-11,1,2020-06-16
ALL/Escobar,2020-05-17,1,2020-06-16
ALL/Escobar,2020-05-22,2,2020-06-16
ALL/Escobar,2020-05-26,1,2020-06-16
ALL/Escobar,2020-05-30,1,2020-06-16
ALL/Escobar,2020-05-31,1,2020-06-16
ALL/Escobar,2020-06-01,1,2020-06-16
ALL/Esteban Echeverría,2020-06-06,1,2020-06-16
ALL/Esteban Echeverría,2020-06-10,1,2020-06-16
ALL/Exaltación de la Cruz,2020-04-20,1,2020-06-16
ALL/Exaltación de la Cruz,2020-04-24,1,2020-06-16
ALL/Exaltación de la Cruz,2020-06-14,1,2020-06-16
ALL/Ezeiza,2020-05-19,1,2020-06-16
ALL/Ezeiza,2020-05-31,1,2020-06-16
ALL/Ezeiza,2020-06-06,1,2020-06-16
ALL/Florencio Varela,2020-03-29,1,2020-06-16
ALL/Florencio Varela,2020-04-07,1,2020-06-16
ALL/Florencio Varela,2020-04-12,1,2020-06-16
ALL/Florencio Varela,2020-04-21,1,2020-06-16
ALL/Florencio Varela,2020-05-07,1,2020-06-16
ALL/Florencio Varela,2020-05-21,1,2020-06-16
ALL/Florencio Varela,2020-05-28,1,2020-06-16
ALL/Florencio Varela,2020-06-07,1,2020-06-16
ALL/Florencio Varela,2020-06-11,1,2020-06-16
ALL/Florencio Varela,2020-06-16,1,2020-06-16
ALL/General Alvarado,2020-06-06,1,2020-06-16
ALL/General Angel V. Peñaloza,2020-04-21,1,2020-06-16
ALL/General Pueyrredón,2020-03-24,1,2020-06-16
ALL/General Pueyrredón,2020-03-28,1,2020-06-16
ALL/General Pueyrredón,2020-06-01,1,2020-06-16
ALL/General Pueyrredón,2020-06-08,1,2020-06-16
ALL/General Roca,2020-03-26,1,2020-06-16
